"","parnames","initial_value","dist_par1","dist_par2","dist_type","fit_par","par_group"
"1","pFS2",0.4,0.08,1,1,0,0
"2","pFS20",0.3,0.1,1,1,0,0
"3","StemConst",0.021754,0.021754,0.005,2,0,0
"4","StemPower",2.77,2.77,0.2,2,0,0
"5","pRx",0.5,0.05,2,1,0,0
"6","pRn",0.07,0.01,1,1,1,1
"7","SLA0",5.4287,5.529,0.44,2,0,0
"8","SLA1",3.5754,3.875,0.11,2,0,0
"9","tSLA",5.9705,5.9705,2.15,2,0,0
"10","k",0.56,0.55,0.7,1,1,1
"11","fullCanAge",3,2,5,1,1,1
"12","MaxIntcptn",0.2,0,1,1,0,0
"13","LAImaxIntcptn",2.1,2,6,1,1,1
"14","alpha",0.04,0.02,0.08,1,0,0
"15","MaxCond",0.02,0.005,0.03,1,0,0
"16","LAIgcx",4.5,2,5,1,0,0
"17","CoeffCond",0.037,0.0408,0.0028,2,0,0
"18","BLcond (tmp DK thinPower)",1,0,10,1,1,1
"19","wSx100",235,235,0.25,2,0,0
"20","thinPower",1.5,1,2.5,1,0,0
"21","mF",0.1,0.05,0.3,1,0,0
"22","mR",0,0,1,1,1,1
"23","mS",0.5,0.2,1,1,0,0
"24","Rttover",0.04,0.0167,0.042,1,0,0
"25","m0 (TMP DK CR)",0.2,0.15,0.35,1,0,0
"26","fN0",1.5,1,2.5,1,0,0
"27","TMin",-2.44,4,2,2,0,0
"28","Topt",23.72,25,2,2,0,0
"29","Tmax",40.51,38,2,2,0,0
"30","kF",0.17,0.1780282,0.0162,2,0,0
"31","MaxAge",199,16,200,1,1,1
"32","nAge",3.54,0.2,4,1,1,1
"33","rAge",0.5,0.01,3,1,1,1
"34","y",0.48,0.3,0.65,1,0,0
"35","FCalpha700_h",1.5,1,2.5,1,0,0
"36","FCalpha700",1.3,1,1.8,1,0,0
"37","fCg700",1,0.2,1.8,1,1,1
"38","SWconst1",0.65,0.01,1.8,1,0,0
"39","SWpower1",8,1,13,1,0,0
"40","mort_rate",0.00098,2e-04,0.001666667,1,0,0
"41","Alpha_h",0.02,0.005,0.07,1,0,0
"42","pFS_h",1.87,0.2,3,1,0,0
"43","pR_h",0.16,0,2,1,1,1
"44","mort_rate_h",0.00098,0,0.0025,1,1,1
"45","SLA_h",16.2,16,3.8,2,0,0
"46","pCRS",0.3,0.15,0.35,1,0,0
"47","FCpFS700",0.84,0.5,1,1,0,0
"48","Leaftover (Temp DK wSx100)",235,235,0.25,2,0,0
"49","FR Par 1",0,-1,1.2,1,1,1
"50","FR Par 2",0.02,0,1,1,0,0
"51","FR Par 3",0.144,0,1,1,0,0
"52","LAI_SD",10,0.001,100,1,0,0
"53","WS_SD",20,0.001,100,1,0,0
"54","WCR_SD",2,0.001,100,1,0,0
"55","WR_SD",5,0.001,100,1,0,0
"56","Stem Density_SD",100,0.001,1000,1,0,0
"57","Hardwood_stem_SD",1,0.001,100,1,0,0
"58","GEP_SD",6,0.001,100,1,0,0
"59","ET_SD",10,0.001,100,1,0,0
"60","Ctrans_SD",5,0.001,100,1,1,1
"61","Root_production_SD",1,0.001,100,1,0,0
"62","Foliage_production_SD",1,0.001,100,1,0,0
"63","LAI_SD_2",0,0,1000,1,1,1
"64","WS_SD_2",0.01,0,1000,1,0,0
"65","WCR_SD_2",0,0,1000,1,1,1
"66","WR_SD_2",0,0,1000,1,1,1
"67","Stem Density_SD_2",0,0,1000,1,1,1
"68","Hardwood_stem_SD_2",0,0,1000,1,1,1
"69","GEP_SD_2",0.1,0,1000,1,0,0
"70","ET_SD_2",0.1,0,1000,1,0,0
"71","Ctrans_SD_2",0.1,0,1000,1,1,1
"72","Root_production_SD_2",0,0,1000,1,1,1
"73","Foliage_production_SD_2",0,0,1000,1,1,1
"74","WsX1000_SD",1000,0,1000,1,1,1
"75","ThinPower_SD",0.1,0,2,1,1,1
"76","Mort_rate_SD",0.01,0,2,1,1,1
"77","Foliage_SD",0.2,0,100,1,1,1
